tree,total_branch_length,Nigeria,Nigeria_random,Cameroon,Cameroon_random,Democratic Republic of the Congo,Democratic Republic of the Congo_random,Uganda,Uganda_random,Zambia,Zambia_random,Malawi,Malawi_random,Mozambique,Mozambique_random
36,0.0018880960521096327,9.524048728336374e-05,5.0089624264972304e-05,1.7512025875935635e-05,2.1625026425811135e-05,9.376242944794189e-05,0.00011436662633407539,6.683789156486288e-05,1.501525202327156e-05,5.635563865443588e-05,0.00012382536989913252,2.392662623287899e-05,3.086277441039821e-05,1.582477470821425e-05,1.7949825456581954e-05
37,0.0018849345639055566,9.47788935055521e-05,6.291977106810003e-05,1.758403148574431e-05,1.7294118001881433e-05,0.00010133275368254019,0.00011657979846413889,6.345184594556855e-05,1.9116655401579807e-05,5.054389635482143e-05,0.00011149076004151942,2.7285105487518833e-05,2.6412013998967313e-05,2.01108330504659e-05,2.6113036810652317e-05
38,0.001908663770113811,9.964534858681912e-05,7.309814246136514e-05,1.2974094382293879e-05,1.0747957476677557e-05,0.00010606748851786489,9.673527707046068e-05,7.566228623536613e-05,5.403516382787772e-05,5.193402145752457e-05,8.4544728867987e-05,2.7473713627630594e-05,3.1497889588593016e-05,2.4739250262168812e-05,3.130844556956244e-05
39,0.0019162889822907628,9.934481906526691e-05,6.513554008335978e-05,1.7223212145939725e-05,2.0276281863426974e-05,9.791062492484656e-05,0.00011521407850967162,6.4733219053215e-05,2.1939881027848883e-05,4.7079331314720235e-05,0.0001358612511186358,2.6079771871833192e-05,4.571197979030004e-05,1.8820252322062888e-05,1.2192979877120478e-05
40,0.00190559892975265,0.00010184442974570866,7.68404004101253e-05,1.4466242004355229e-05,1.581551202045747e-05,0.00010372355782080583,0.00012278575422805375,6.555247128017111e-05,4.2849732569426964e-05,4.724859833298532e-05,0.00011427439304006722,2.507117031372427e-05,2.8035083182791857e-05,1.8252037981822834e-05,1.093791473705209e-05
41,0.0018883685663064974,0.00010155803084030456,6.685785233684913e-05,1.574379284352643e-05,1.51142954539921e-05,9.85456989535964e-05,7.915692728033535e-05,5.810898314246183e-05,2.1007964640797983e-05,5.1423710642128136e-05,0.00011257925852004936,2.9567550500283687e-05,2.1358765332950627e-05,1.8240428231945226e-05,1.762647636991809e-05
42,0.0019002081659809304,9.554927591335543e-05,4.2394523543082e-05,1.5704346688129225e-05,7.62137661094878e-06,0.00010369114560392903,8.468921338894257e-05,6.676132462870611e-05,1.9374311424180234e-05,5.6496725869181665e-05,0.00011789741600543501,2.9328747204226567e-05,3.3080536886998186e-05,1.822932395551826e-05,2.148418604035543e-05
43,0.0018998448634416146,9.866900793238263e-05,5.3175245091789235e-05,1.9593138932028032e-05,1.262146145132874e-05,0.00010144414911244159,0.0001319246072666151,7.044528381009666e-05,2.5661074177577882e-05,5.626850864958203e-05,0.0001297134725523905,2.760109728993992e-05,3.656573149148426e-05,1.9495857520158196e-05,1.105609257629858e-05
44,0.0018988030447667666,9.91260779741245e-05,7.231574976840197e-05,1.8240785158224557e-05,1.5384073209915358e-05,0.00010173055892832481,0.0001176799594972439,6.83286776725035e-05,1.806715998404454e-05,5.326452309366921e-05,0.00010362064077699983,2.584048528024986e-05,1.8678336913120937e-05,2.1039278204150512e-05,7.892132574351248e-06
45,0.0019028733733845052,9.838471410399119e-05,5.9928342370453276e-05,1.53587892764834e-05,9.407784136631616e-06,9.851484626730717e-05,7.078294964147714e-05,6.545537123418062e-05,1.5096249552992887e-05,4.72480028582379e-05,0.00014240974976237135,3.0019773345898657e-05,2.206419067350457e-05,2.004521861863535e-05,1.3806028832644927e-05
46,0.0019012569780305357,0.0001044784713332247,8.60396826347547e-05,1.628479188588443e-05,9.934220614219022e-06,0.0001053684484592888,9.779901889954835e-05,6.501741017398235e-05,1.3756332328321514e-05,4.997612698624072e-05,0.00011175589651512348,2.5058030407183176e-05,5.527984994578203e-05,1.8826346714138084e-05,1.242949770098394e-05
47,0.0018786688990198367,0.00010004025158558616,5.900148306940234e-05,2.1875396442023933e-05,8.381110054777588e-06,9.946383869611011e-05,0.00010643144622386074,6.92964337562559e-05,1.7878590491620912e-05,5.447070350485836e-05,0.00010888370680347658,2.5968819334315583e-05,3.88412480768869e-05,1.8530553492715962e-05,1.9689669036081778e-05
48,0.0018998268005259728,9.571589731002242e-05,7.115090629942339e-05,2.0520341951788717e-05,1.5617241535979907e-05,0.0001014407417773114,0.0001070700901038698,6.344192815023312e-05,1.6567951668664547e-05,5.119260950564868e-05,0.00012678032982637298,2.7054160114916214e-05,4.104590504641257e-05,1.658363368279214e-05,2.0248421970975794e-05
49,0.0019319398221507363,0.00010371293272407999,6.064159699948951e-05,1.7736282909567268e-05,1.789297630224525e-05,0.0001114435090351694,0.00013471502258545075,7.340190896369344e-05,2.5007121472027816e-05,5.325375290636449e-05,0.00012819216000036653,2.244081575461911e-05,2.338908108135123e-05,1.6214115067908616e-05,1.4507356040165424e-05
